"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
4030,2024,2,2,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting,"Individual attack","Project site",31.343889,34.3025,Disputed,"Host state","Israel Defense Forces (IDF)","One female Palestinian Red Crescent Society aid worker was shot and killed by a sniper in Khan Younis.",Pending,"Official Report"
4031,2024,2,7,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",31.348249,34.298072,Disputed,"Host state","Israel Defense Forces (IDF)","One male Palestinian Red Crescent Society aid worker was shot and killed while evacuating wounded people in Gaza.",Pending,"Official Report"
4032,2024,2,10,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shelling,Combat/Crossfire,Road,31.504215,34.434714,Disputed,"Host state","Israel Defense Forces (IDF)","Two national Palestinian Red Crescent Society aid workers were killed when the ambulance they were in was hit in Gaza.",Pending,"Official Report"
4046,2024,2,29,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,8,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,8,"Aerial bombardment",Combat/Crossfire,"Public location",31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","8 UN aid workers have been killed during the clashes between the Israel Defence Forces (IDF) and Hamas in the Gaza Strip between the 1st and the 29th of February, 2024. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4078,2024,3,3,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Khirbat al ‘Adas",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.285174,34.271157,Incidental,"Host state","Israel Defense Forces (IDF)","One male national INGO aid worker was killed along with his family during an aerial strike in Khirbat al 'Adas, Gaza.",Pending,"Official Report"
4084,2024,3,14,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Rafah East Distribution Centre",23,0,0,0,0,0,1,22,0,23,0,0,0,0,1,22,0,23,0,0,23,"Aerial bombardment",Combat/Crossfire,Office/compound,31.298370,34.241829,Disputed,"Host state","Israel Defense Forces (IDF)","One UN aid worker was killed, and 22 UN aid workers were injured during a drone attack on a UN distribution centre in Rafah, Gaza.",Pending,"Official Report"
4072,2024,3,14,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,5,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,"Aerial bombardment",Combat/Crossfire,"Public location",31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","5 UN aid workers have been killed during the clashes between the Israel Defence Forces (IDF) and Hamas in the Gaza Strip between the 1st and the 14th of March, 2024. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4088,2024,3,24,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Unknown,Raid,"Project site",31.344444,34.303056,Disputed,"Host state","Israel Defense Forces (IDF)","Two male staff members of the Palestinian Red Crescent were killed during the evacuation of the Al Amal Hospital in Khan Yunis.",Pending,"Official Report"
4087,2024,3,29,PS,"Occupied Palestinian Territories","Gaza Strip",,,0,0,0,11,0,0,11,0,0,11,0,0,0,0,11,0,0,11,0,0,11,Unknown,Combat/Crossfire,Unknown,31.514722,34.454167,Incidental,"Host state","Israel Defense Forces (IDF)","According to the Palestinian Red Crescent, 11 off-duty staff members have been killed in the Gaza Strip from collateral violence since October 7, 2023. Further details on the individual incidents is not available at this time.",Pending,"Official Report"
4086,2024,4,1,PS,"Occupied Palestinian Territories","Gaza Strip","Central Gaza",,0,8,0,0,0,0,1,1,0,2,6,0,0,6,7,1,0,8,0,0,8,"Aerial bombardment",Combat/Crossfire,Road,31.435639,34.386136,Incidental,"Host state","Israel Defense Forces (IDF)","7 INGO staff members, including 1 national and 6 international staff, were killed in an Israel Defense Force strike in Central Gaza, as their aid convoy left a warehouse. One additional national INGO staff was injured. According to official statements, the vehicles were all clearly marked and information on their movements had been shared with parties to the conflict. Israel has taken responsibility for the attack, calling it ""unintentional."" The INGO has suspended all operations in the area.",Pending,"Official Report"
4089,2024,4,1,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Deir al-Balah",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.418889,34.351667,Incidental,"Host state","Israel Defense Forces (IDF)","One INGO staff member was seriously injured after an airstrike hit his home in Central Gaza, Deir al-Balah.",Pending,Media
